#
#THIS IS THE GROMETRY FILE FOR THE HEXAGONAL HGCAL WAFER
#
# 8 inch 256 pads
#
#DO NOT MODIFY UNLESS YOU KNOW WHAT YOU ARE DOING
#
#padnumber	xposition	yposition	size	type

#1. row
101	-1.75	0.71	0.39	0
102	-1.05	0.71	0.39	0
103	-0.35	0.71	0.39	0
104	0.35	0.71	0.39	0
105	1.05	0.71	0.39	0
106	1.75	0.71	0.39	0
107	2.45	0.71	0.39	0
108	3.15	0.71	0.39	0
109	3.85	0.71	0.39	0
110	4.55	0.71	0.39	0
111	5.25	0.71	0.39	0
#10. row
112	-4.9	0.00	0.39	0
113	-4.2	0.00	0.39	0
114	-3.5	0.00	0.39	0
115	-2.8	0.00	0.39	0
116	-2.1	0.00	0.39	0
117	-1.4	0.00	0.39	0
118	-0.7	0.00	0.39	0
119	0.0	0.00	0.39	0
120	0.7	0.00	0.39	0
121	1.4	0.00	0.39	0
122	2.1	0.00	0.39	0
123	2.8	0.00	0.39	0
124	3.5	0.00	0.39	0
125	4.2	0.00	0.39	0
126	4.9	0.00	0.39	0
#11. row
127	-5.25	-0.71	0.39	0
128	-4.55	-0.71	0.39	0
129	-3.85	-0.71	0.39	0
130	-3.15	-0.71	0.39	0
131	-2.45	-0.71	0.39	0
132	-1.75	-0.71	0.39	0
133	-1.05	-0.71	0.39	0
134	-0.35	-0.71	0.39	0
135	0.35	-0.71	0.39	0
136	1.05	-0.71	0.39	0
137	1.75	-0.71	0.39	0
138	2.45	-0.71	0.39	0
139	3.15	-0.71	0.39	0
140	3.85	-0.71	0.39	0
141	4.55	-0.71	0.39	0
142	5.25	-0.71	0.39	0
#12. row
143	-4.9	-1.42	0.39	0
144	-4.2	-1.42	0.39	0
145	-3.5	-1.42	0.39	0
146	-2.8	-1.42	0.39	0
147	-2.1	-1.42	0.39	0
148	-1.4	-1.42	0.39	0
149	-0.7	-1.42	0.39	0
150	0.0	-1.42	0.39	0
151	0.7	-1.42	0.39	0
152	1.4	-1.42	0.39	0
153	2.1	-1.42	0.39	0
154	2.8	-1.42	0.39	0
155	3.5	-1.42	0.39	0
156	4.2	-1.42	0.39	0
157	4.9	-1.42	0.39	0
#13. row
158	-5.25	-2.13	0.39	0
159	-4.55	-2.13	0.39	0
160	-3.85	-2.13	0.39	0
161	-3.15	-2.13	0.39	0
162	-2.45	-2.13	0.39	0
163	-1.75	-2.13	0.39	0
164	-1.05	-2.13	0.39	0
165	-0.35	-2.13	0.39	0
166	0.35	-2.13	0.39	0
167	1.05	-2.13	0.39	0
168	1.75	-2.13	0.39	0
169	2.45	-2.13	0.39	0
170	3.15	-2.13	0.39	0
171	3.85	-2.13	0.39	0
172	4.55	-2.13	0.39	0
173	5.25	-2.13	0.39	0
#14. row
174	-4.9	-2.84	0.39	0
175	-4.2	-2.84	0.39	0
176	-3.5	-2.84	0.39	0
177	-2.8	-2.84	0.39	0
178	-2.1	-2.84	0.39	0
179	-1.4	-2.84	0.39	0
180	-0.7	-2.84	0.39	0
181	0.0	-2.84	0.39	4
182	0.0	-2.84	0.20	5
183	0.7	-2.84	0.39	0
184	1.4	-2.84	0.39	0
185	2.1	-2.84	0.39	0
186	2.8	-2.84	0.39	0
187	3.5	-2.84	0.39	0
188	4.2	-2.84	0.39	0
189	4.9	-2.84	0.39	0
#15. row
190	-4.55	-3.55	0.39	0
191	-3.85	-3.55	0.39	0
192	-3.15	-3.55	0.39	0
193	-2.45	-3.55	0.39	0
194	-1.75	-3.55	0.39	0
195	-1.05	-3.55	0.39	0
196	-0.35	-3.55	0.39	0
197	0.35	-3.55	0.39	0
198	1.05	-3.55	0.39	0
199	1.75	-3.55	0.39	0
200	2.45	-3.55	0.39	0
201	3.15	-3.55	0.39	0
202	3.85	-3.55	0.39	0
203	4.55	-3.55	0.39	0
#16. row
204	-4.2	-4.26	0.39	0
205	-3.5	-4.26	0.39	0
206	-2.8	-4.26	0.39	0
207	-2.1	-4.26	0.39	0
208	-1.4	-4.26	0.39	0
209	-0.7	-4.26	0.39	0
210	0.0	-4.26	0.39	0
211	0.7	-4.26	0.39	0
212	1.4	-4.26	0.39	0
213	2.1	-4.26	0.39	0
214	2.8	-4.26	0.39	0
215	3.5	-4.26	0.39	0
216	4.2	-4.26	0.39	0
#17. row
217	-3.15	-4.97	0.39	0
218	-2.45	-4.97	0.39	0
219	-1.75	-4.97	0.39	0
220	-1.05	-4.97	0.39	0
221	-0.35	-4.97	0.39	0
222	0.35	-4.97	0.39	0
223	1.05	-4.97	0.39	0
224	1.75	-4.97	0.39	0
225	2.45	-4.97	0.39	0
226	3.15	-4.97	0.39	0
#18. row
227	-2.1	-5.68	0.39	0
228	-1.4	-5.68	0.39	0
229	-0.7	-5.68	0.39	0
230	0.0	-5.68	0.39	0
231	0.7	-5.68	0.39	0
232	1.4	-5.68	0.39	0
233	2.1	-5.68	0.39	0
#19. row
234	-1.05	-6.39	0.39	0
235	-0.35	-6.39	0.39	0
236	0.35	-6.39	0.39	0
237	1.05	-6.39	0.39	0
#Guard ring
238	0	0	6.35 	1
